"positionId","amount","eventTime"
"1","9.57","1543954387921"
"1","55.43","1543971141278"
"1","9.25","1544008459454"
"1","23.20","1543999310624"
"1","8.68","1543942819121"
"1","79.07","1543979424883"
"2","72.22","1543960481842"
"2","12.83","1544022443774"
"2","91.27","1544014793476"
"3","85.60","1544016533255"
"3","46.85","1544017735921"
"4","18.56","1544020809917"
"4","5.63","1544021924057"
"4","14.50","1543955254065"
"4","30.02","1544011698721"
"5","88.54","1543996368130"
"5","18.92","1544021355422"
"5","1.39","1544005595698"
"5","61.40","1543974976228"
"6","5.72","1544023963346"
"6","32.59","1543985492916"
"7","60.13","1544018879884"
"7","2.86","1544009108913"
"7","88.89","1543943149021"
"7","29.82","1543980993731"
"7","55.79","1543954668464"
"8","37.95","1543997372656"
"8","7.23","1544010430384"
"8","23.94","1543946139632"
"9","96.26","1543977705220"
"9","24.22","1544001036215"
"9","50.69","1543941664647"
"10","47.97","1543940284588"
"10","93.15","1543971122944"
"10","19.62","1543958981462"
"10","77.61","1543963092791"
"10","22.52","1543950006512"
"11","77.69","1544023804861"
"11","97.99","1544018095179"
"11","38.69","1543990958727"
"11","22.50","1543986044910"
"11","21.31","1543945811287"
"12","93.82","1543942401383"
"12","6.93","1544011503488"
"13","27.65","1544020916686"
"13","45.32","1543974028185"
"13","5.46","1543968745046"
"14","13.71","1543967687241"
"14","58.65","1543952904355"
"14","30.87","1543976835546"
"14","11.71","1543988813479"
"14","50.32","1543976183537"
"15","94.37","1543952095130"
"15","80.09","1544014550602"
"15","85.99","1544018350015"
"15","38.29","1543973090594"
"15","45.11","1543994488848"
"15","44.99","1544016437184"
"16","59.63","1543989397117"
"16","5.56","1543956952784"
"16","66.73","1543963435856"
"16","75.66","1543958388111"
"16","88.86","1543957106824"
"17","57.60","1544023736565"
"17","87.55","1543992618166"
"18","31.65","1544022287211"
"18","63.30","1543961748352"
"18","14.70","1543950970267"
"18","9.99","1543996443492"
"18","78.69","1543960284937"
"19","13.48","1543952331797"
"19","83.82","1544015830378"
"19","33.75","1543955434006"
"19","36.36","1544005162386"
"20","97.49","1543949874259"
"20","26.87","1544018119318"
"20","13.00","1543991757906"
"21","84.11","1543974277208"
"21","80.63","1543978614782"
"21","84.48","1544024834120"
"22","46.89","1543995065073"
"22","10.92","1543996512376"
"22","43.58","1543957090201"
"22","44.98","1544002964522"
"22","9.88","1543997471903"
"22","35.28","1543956102426"
"23","53.61","1543988723396"
"23","58.23","1543960402576"
"23","37.50","1543978699054"
"23","10.57","1543972453715"
"24","46.80","1544023853885"
"24","29.25","1543971191246"
"24","88.94","1543940327758"
"24","95.43","1543984977598"
"25","96.60","1544022248963"
"25","19.09","1544025223739"
"25","29.30","1543947283475"
"25","23.83","1544025039712"
"25","36.20","1543997019566"
"25","20.60","1543959154625"
"26","70.39","1543967871872"
"26","75.53","1544026057698"
"27","24.55","1543954302793"
"27","67.58","1543990008306"
"28","66.01","1543953407368"
"28","76.58","1544013253496"
"28","6.31","1544016317863"
"28","61.12","1544013489341"
"28","84.31","1543941176551"
"28","95.13","1544009986759"
"29","81.36","1543944661994"
"29","66.68","1543946189608"
"29","57.04","1544016074146"
"30","77.88","1543944620678"
"30","44.61","1544020799354"
"30","2.82","1544026350166"
"31","6.25","1544018538608"
"31","72.91","1543998757420"
"31","1.74","1543974388212"
"31","31.19","1543966747109"
"31","12.59","1543970554881"
"32","72.44","1543944807051"
"32","68.71","1543982257191"
"33","41.48","1543945441748"
"33","57.27","1544019387491"
"33","5.34","1544022066087"
"33","31.50","1543955418974"
"34","11.07","1544020811996"
"34","66.23","1544001390023"
"34","11.92","1544002427006"
"35","11.97","1543958733685"
"35","1.15","1543966381102"
"35","54.86","1543949377389"
"36","47.42","1543950851736"
"36","42.20","1543975687612"
"36","91.11","1543961649184"
"36","16.45","1543992470291"
"37","89.37","1544010945603"
"37","71.99","1543976483831"
"37","56.00","1543949802482"
"38","31.82","1543988203150"
"38","47.20","1543966016229"
"38","49.82","1544004834003"
"38","17.75","1544022541308"
"38","35.51","1543940205768"
"39","49.97","1543968132825"
"39","53.13","1543993673507"
"39","46.77","1544022290100"
"39","47.42","1543948899664"
"39","44.50","1543993994832"
"40","32.32","1543947227836"
"40","27.92","1544010328754"
"40","57.51","1543945466080"
"40","34.97","1543950927376"
"40","90.33","1544022589878"
"41","70.32","1544002999930"
"41","91.02","1543986586088"
"41","89.85","1543988098660"
"41","95.32","1544008133809"
"42","91.48","1544016724874"
"42","80.42","1544000701319"
"42","58.74","1543968030954"
"43","57.74","1544018232265"
"43","8.82","1543953915774"
"44","54.94","1543998135762"
"44","54.45","1544001777452"
"44","29.98","1544019291216"
"44","82.74","1543946862531"
"44","22.11","1543995597615"
"45","25.77","1543991552532"
"45","64.28","1543954683503"
"45","8.57","1543957901907"
"45","33.94","1544017477759"
"45","92.59","1543941076139"
"46","68.63","1543983208716"
"46","79.49","1543976032346"
"46","12.02","1544016728467"
"47","21.91","1543969199137"
"47","1.88","1543981804732"
"47","21.81","1544010847840"
"47","67.70","1543960286213"
"47","60.96","1543963659408"
"48","55.35","1543998438196"
"48","82.36","1544021135427"
"48","55.87","1543949996783"
"49","12.47","1544000342838"
"49","37.28","1544011875924"
"50","6.20","1543957321220"
"50","37.16","1543942076104"
"51","78.85","1543969636319"
"51","9.32","1544026219336"
"51","36.83","1544025360444"
"51","89.87","1544000381616"
"52","66.35","1543999217870"
"52","86.11","1543991993175"
"52","88.92","1544025897322"
"52","44.97","1544008053841"
"53","72.48","1543943524080"
"53","36.75","1543982447860"
"53","37.91","1543940285154"
"53","21.66","1543957211067"
"53","17.02","1543991223449"
"53","93.38","1543978088150"
"54","74.43","1543976423241"
"54","9.85","1543972613999"
"55","41.83","1543995823760"
"55","72.70","1544026037621"
"56","29.10","1543979957930"
"56","22.42","1543947517294"
"57","29.04","1543952244332"
"57","15.34","1544011297089"
"57","70.76","1544000726915"
"58","4.61","1544017683449"
"58","22.15","1544000277945"
"58","14.59","1543967459579"
"58","21.94","1543977143179"
"58","33.22","1544017247865"
"59","48.46","1544015535383"
"59","68.36","1543940872434"
"60","54.28","1543946792586"
"60","96.59","1543969281622"
"61","6.16","1543950768471"
"61","68.51","1544022431088"
"61","88.24","1544025916210"
"61","95.02","1544006658031"
"62","10.75","1543965613700"
"62","54.07","1544021399919"
"63","77.96","1543996378261"
"63","56.40","1543965338216"
"63","27.45","1543978327777"
"63","75.09","1543989097623"
"64","32.95","1543943034386"
"64","93.92","1543998117255"
"65","60.61","1543975203846"
"65","31.83","1543976822343"
"65","57.79","1543953845668"
"65","36.14","1543946752381"
"65","88.26","1543950880241"
"66","83.89","1544026502246"
"66","51.38","1543968492307"
"66","98.75","1544023278710"
"67","96.05","1544006017359"
"67","30.45","1543942907391"
"67","40.22","1544003580047"
"67","98.83","1544013858310"
"67","33.22","1543950243207"
"68","3.67","1543948937089"
"68","81.15","1543952570537"
"68","4.67","1543959525343"
"68","3.72","1543973822169"
"68","91.82","1544016692516"
"69","50.99","1543970822489"
"69","64.52","1543980368815"
"69","40.50","1543956174711"
"69","37.61","1543954441512"
"70","10.09","1544019054754"
"70","56.70","1543941841583"
"70","17.82","1543956607361"
"70","6.32","1543944282406"
"70","93.26","1543990840882"
"70","79.04","1544023914569"
"71","70.82","1544004516382"
"71","79.04","1544003923001"
"72","99.82","1543963546642"
"72","77.07","1544015379474"
"73","97.56","1543982009816"
"73","17.94","1543947702381"
"74","40.82","1544019687541"
"74","55.58","1543977252212"
"75","64.56","1543986922961"
"75","51.87","1543952764552"
"76","21.37","1543965880130"
"76","75.62","1544017314428"
"76","97.68","1544021103645"
"77","22.09","1543980147275"
"77","8.78","1544021899745"
"78","9.49","1543956603633"
"78","5.57","1544025965618"
"78","63.25","1543988543712"
"79","49.08","1543953252242"
"79","97.15","1543942645361"
"79","64.01","1543993855023"
"79","58.66","1543959945719"
"79","99.19","1543949869037"
"80","23.17","1543946832984"
"80","70.37","1543987869440"
"80","98.00","1543984323848"
"80","40.70","1544000391809"
"80","95.67","1543971283763"
"80","70.63","1544019227371"
"81","24.11","1544002780401"
"81","84.76","1544004789729"
"81","3.14","1543960017401"
"81","60.44","1543980229378"
"81","92.93","1544000932872"
"81","47.38","1543955194898"
"82","93.86","1543995280222"
"82","56.85","1544016686882"
"82","91.50","1543977512421"
"83","53.71","1543940636947"
"83","46.90","1543958919400"
"83","7.54","1543941703461"
"83","83.82","1543947010653"
"84","59.30","1544019515349"
"84","34.41","1543965245891"
"85","3.09","1544001782115"
"85","78.59","1543997167140"
"86","65.68","1543958264094"
"86","26.46","1543993859069"
"86","90.08","1543992119191"
"87","3.67","1543950047647"
"87","6.20","1543981829836"
"87","6.41","1543976224655"
"87","56.56","1544023359020"
"87","30.80","1543962280904"
"87","30.44","1544021232118"
"88","49.22","1544009754552"
"88","46.88","1543985029143"
"88","97.67","1544003218708"
"88","54.01","1543987110056"
"89","94.78","1543975334257"
"89","4.38","1543952890868"
"89","64.48","1543987509043"
"90","94.00","1544009232628"
"90","99.07","1543981335255"
"90","95.40","1543982943783"
"90","7.72","1543953779952"
"91","69.99","1543988692761"
"91","42.74","1543959463727"
"92","34.92","1544012919585"
"92","73.46","1544006206200"
"92","45.54","1543964492528"
"92","71.37","1543962259150"
"92","10.95","1543975696616"
"92","3.67","1543947904455"
"93","93.32","1544021658413"
"93","76.59","1543945457738"
"93","31.66","1544019569595"
"93","4.33","1543976055997"
"94","13.21","1543990025618"
"94","63.32","1543977322848"
"94","74.69","1543968738996"
"94","25.83","1544019897992"
"94","69.62","1544007722337"
"94","18.19","1544009634230"
"95","97.58","1543969326793"
"95","24.31","1544018573418"
"95","10.11","1544005170441"
"95","71.30","1543963303930"
"95","87.16","1543975710746"
"96","56.32","1543998333355"
"96","3.73","1544005942661"
"96","70.29","1543973759066"
"96","77.16","1543959801831"
"96","68.84","1543978086794"
"96","90.60","1543989401841"
"97","5.72","1543993257505"
"97","87.73","1543976822028"
"97","8.42","1543977178349"
"97","37.74","1543970626730"
"97","95.62","1544014456109"
"98","23.78","1543949323601"
"98","33.43","1544006190570"
"98","61.99","1543953273956"
"98","87.97","1544023387621"
"98","19.70","1543984766839"
"98","38.48","1543940333779"
"99","65.78","1543999416725"
"99","31.35","1544024857233"
"99","74.89","1544011025496"
"100","59.38","1543999292467"
"100","21.45","1543971662846"
"100","33.80","1543988253769"
"100","32.80","1543973868396"
"100","87.87","1544013850102"
"101","45.39","1544007176527"
"101","91.80","1543964031680"
"102","38.50","1543984831344"
"102","98.74","1544006996176"
"102","91.68","1543979795422"
"102","8.21","1543946412350"
"102","19.76","1544010448204"
"102","88.28","1543973022927"
"103","45.89","1543957700331"
"103","47.33","1543999810267"
"104","49.02","1544021568804"
"104","70.03","1543999586547"
"104","92.75","1543957872129"
"104","33.09","1543980736094"
"104","32.52","1543979924368"
"105","65.71","1544001446957"
"105","2.86","1543947927594"
"106","19.32","1543976666207"
"106","41.52","1543967251026"
"106","28.18","1543997105484"
"106","22.08","1543946890542"
"106","7.37","1543948334534"
"107","58.75","1544012762398"
"107","84.62","1543995846268"
"107","71.96","1543963175348"
"107","97.50","1543981326717"
"107","27.00","1543966514077"
"107","34.93","1543981123386"
"108","71.61","1543946015267"
"108","6.35","1543941585859"
"108","1.15","1543976033462"
"108","77.68","1544020091414"
"109","33.59","1543995421159"
"109","46.67","1543984413442"
"109","31.19","1543999335191"
"109","18.98","1543979330865"
"109","90.23","1544016805343"
"109","73.02","1544018836667"
"110","79.07","1543962665616"
"110","81.47","1543958354463"
"110","3.10","1543972597379"
"110","55.53","1543948949158"
"111","76.27","1543956268677"
"111","14.75","1543994925342"
"111","26.64","1543941250500"
"111","72.04","1544007145088"
"111","46.19","1543961259608"
"112","16.02","1543996737752"
"112","20.43","1543992889530"
"112","35.89","1543992469026"
"112","99.54","1543944301672"
"112","1.67","1544006500926"
"113","83.42","1544004807529"
"113","86.98","1543979387110"
"113","76.99","1543987595778"
"113","95.85","1543983679781"
"114","10.68","1543985926725"
"114","80.55","1543967803466"
"114","63.94","1543992291776"
"114","74.09","1544002850129"
"114","25.88","1544002969081"
"114","45.40","1543953173723"
"115","89.75","1543961499990"
"115","59.09","1543990352196"
"115","80.45","1543993608732"
"116","4.55","1544009862861"
"116","74.43","1543993346306"
"117","29.67","1543986098181"
"117","28.20","1543953234339"
"117","75.27","1543942742990"
"117","82.00","1543977284363"
"117","42.87","1543968238343"
"117","97.44","1544012861084"
"118","11.53","1543944758703"
"118","57.12","1543962988907"
"118","88.52","1543979588121"
"118","49.04","1544023542682"
"118","32.22","1543997687860"
"118","17.81","1544001344227"
"119","95.94","1544004590350"
"119","69.86","1544024035999"
"119","21.39","1543963568781"
"119","95.95","1544018126458"
"119","50.83","1543945701207"
"119","20.40","1544022023674"
"120","4.82","1543945149420"
