"positionId","warehouse","product","eventTime"
"1","W-2","P-97","1543954387921"
"2","W-3","P-12","1543960481842"
"3","W-4","P-55","1544016533255"
"4","W-5","P-80","1544020809917"
"5","W-6","P-82","1543996368130"
"6","W-7","P-77","1544023963346"
"7","W-8","P-72","1544018879884"
"8","W-9","P-34","1543997372656"
"9","W-10","P-22","1543977705220"
"10","W-11","P-72","1543940284588"
"11","W-12","P-85","1544023804861"
"12","W-13","P-81","1543942401383"
"13","W-14","P-50","1544020916686"
"14","W-15","P-100","1543967687241"
"15","W-16","P-66","1543952095130"
"16","W-17","P-71","1543989397117"
"17","W-18","P-51","1544023736565"
"18","W-19","P-66","1544022287211"
"19","W-20","P-14","1543952331797"
"20","W-21","P-64","1543949874259"
"21","W-22","P-64","1543974277208"
"22","W-23","P-39","1543995065073"
"23","W-24","P-74","1543988723396"
"24","W-25","P-13","1544023853885"
"25","W-26","P-15","1544022248963"
"26","W-27","P-28","1543967871872"
"27","W-28","P-2","1543954302793"
"28","W-29","P-10","1543953407368"
"29","W-30","P-33","1543944661994"
"30","W-31","P-2","1543944620678"
"31","W-32","P-43","1544018538608"
"32","W-33","P-46","1543944807051"
"33","W-34","P-30","1543945441748"
"34","W-35","P-77","1544020811996"
"35","W-36","P-31","1543958733685"
"36","W-37","P-74","1543950851736"
"37","W-38","P-52","1544010945603"
"38","W-39","P-68","1543988203150"
"39","W-40","P-14","1543968132825"
"40","W-41","P-38","1543947227836"
"41","W-42","P-62","1544002999930"
"42","W-43","P-39","1544016724874"
"43","W-44","P-14","1544018232265"
"44","W-45","P-20","1543998135762"
"45","W-46","P-73","1543991552532"
"46","W-47","P-66","1543983208716"
"47","W-48","P-40","1543969199137"
"48","W-49","P-19","1543998438196"
"49","W-50","P-93","1544000342838"
"50","W-1","P-95","1543957321220"
"51","W-2","P-97","1543969636319"
"52","W-3","P-100","1543999217870"
"53","W-4","P-100","1543943524080"
"54","W-5","P-77","1543976423241"
"55","W-6","P-98","1543995823760"
"56","W-7","P-61","1543979957930"
"57","W-8","P-74","1543952244332"
"58","W-9","P-74","1544017683449"
"59","W-10","P-87","1544015535383"
"60","W-11","P-62","1543946792586"
"61","W-12","P-71","1543950768471"
"62","W-13","P-53","1543965613700"
"63","W-14","P-33","1543996378261"
"64","W-15","P-5","1543943034386"
"65","W-16","P-36","1543975203846"
"66","W-17","P-12","1544026502246"
"67","W-18","P-34","1544006017359"
"68","W-19","P-10","1543948937089"
"69","W-20","P-70","1543970822489"
"70","W-21","P-96","1544019054754"
"71","W-22","P-70","1544004516382"
"72","W-23","P-13","1543963546642"
"73","W-24","P-51","1543982009816"
"74","W-25","P-24","1544019687541"
"75","W-26","P-79","1543986922961"
"76","W-27","P-86","1543965880130"
"77","W-28","P-21","1543980147275"
"78","W-29","P-54","1543956603633"
"79","W-30","P-22","1543953252242"
"80","W-31","P-29","1543946832984"
"81","W-32","P-75","1544002780401"
"82","W-33","P-9","1543995280222"
"83","W-34","P-25","1543940636947"
"84","W-35","P-80","1544019515349"
"85","W-36","P-21","1544001782115"
"86","W-37","P-37","1543958264094"
"87","W-38","P-70","1543950047647"
"88","W-39","P-70","1544009754552"
"89","W-40","P-81","1543975334257"
"90","W-41","P-100","1544009232628"
"91","W-42","P-70","1543988692761"
"92","W-43","P-44","1544012919585"
"93","W-44","P-67","1544021658413"
"94","W-45","P-81","1543990025618"
"95","W-46","P-98","1543969326793"
"96","W-47","P-97","1543998333355"
"97","W-48","P-6","1543993257505"
"98","W-49","P-53","1543949323601"
"99","W-50","P-39","1543999416725"
"100","W-1","P-78","1543999292467"
"101","W-2","P-90","1544007176527"
"102","W-3","P-29","1543984831344"
"103","W-4","P-69","1543957700331"
"104","W-5","P-96","1544021568804"
"105","W-6","P-51","1544001446957"
"106","W-7","P-75","1543976666207"
"107","W-8","P-43","1544012762398"
"108","W-9","P-54","1543946015267"
"109","W-10","P-97","1543995421159"
"110","W-11","P-19","1543962665616"
"111","W-12","P-54","1543956268677"
"112","W-13","P-87","1543996737752"
"113","W-14","P-80","1544004807529"
"114","W-15","P-17","1543985926725"
"115","W-16","P-86","1543961499990"
"116","W-17","P-86","1544009862861"
"117","W-18","P-49","1543986098181"
"118","W-19","P-95","1543944758703"
"119","W-20","P-45","1544004590350"
"120","W-21","P-94","1543945149420"
"121","W-22","P-27","1543945331129"
"122","W-23","P-12","1543967337641"
"123","W-24","P-94","1543978775339"
"124","W-25","P-7","1543994819492"
"125","W-26","P-37","1543991951698"
"126","W-27","P-39","1543947062935"
"127","W-28","P-65","1543997556410"
"128","W-29","P-75","1543977228530"
"129","W-30","P-26","1543940405025"
"130","W-31","P-80","1543974454278"
"131","W-32","P-10","1543987990943"
"132","W-33","P-12","1544003319545"
"133","W-34","P-23","1544019555261"
"134","W-35","P-5","1543991489307"
"135","W-36","P-16","1543950705363"
